videoId,title,duration,metadataRows,url,thumbnail
z-W0dsQsAPM,✅️गहरी शून्यता में प्रवेश हेत महाध्यान साधना नींद मे भी ध्यान कैसे करें #meditation,30:07,"[['348 views', '5 months ago']]",https://www.youtube.com/watch?v=z-W0dsQsAPM,https://i.ytimg.com/an_webp/z-W0dsQsAPM/mqdefault_6s.webp?du=3000&sqp=CLGKsdMG&rs=AOn4CLAtm2kzA3lcEYnnPPGuznOnDp9iNg
VvZr5xZyWhs,✅️ध्यान की सरल विधि । नाक से नाभ  तक 50 सांस । the easiest way to meditate #meditation,29:52,"[['876 views', '5 months ago']]",https://www.youtube.com/watch?v=VvZr5xZyWhs,https://i.ytimg.com/an_webp/VvZr5xZyWhs/mqdefault_6s.webp?du=3000&sqp=CLKJsdMG&rs=AOn4CLARdsiA4T7hkiwOKaogbneYXpyarg
bhvm-8yP7xo,✅️बौद्ध धर्म के अनुसार ध्यान में प्रवेश करने का सही तरीका The Right Way toEnterMeditation#Meditation,28:09,"[['269 views', '5 months ago']]",https://www.youtube.com/watch?v=bhvm-8yP7xo,https://i.ytimg.com/an_webp/bhvm-8yP7xo/mqdefault_6s.webp?du=3000&sqp=CJCEsdMG&rs=AOn4CLC0jEZZqbA29S2H7mresCV7m1Rj9A
CTJlrVunEqU,✅️Hold your breath and see the miracle. A miracle will happen in 7days.Third Eye Opening.#meditation,31:07,"[['195 views', '5 months ago']]",https://www.youtube.com/watch?v=CTJlrVunEqU,https://i.ytimg.com/an_webp/CTJlrVunEqU/mqdefault_6s.webp?du=3000&sqp=CPf4sNMG&rs=AOn4CLDpfojU2NYvNNVAo70eWLQoLy5SZA
3jOhwZMvcQ4,✅️साँस की महाशक्ति का अनुभव जीवन बदलने वाली श्वास विधि Buddha motivation on mind power #meditation,29:54,"[['747 views', '6 months ago']]",https://www.youtube.com/watch?v=3jOhwZMvcQ4,https://i.ytimg.com/an_webp/3jOhwZMvcQ4/mqdefault_6s.webp?du=3000&sqp=CI7esNMG&rs=AOn4CLAHKIdwPUkj3YJO6GaFzCE1BwvXfg
Y73Uu83CJes,✅️साँस रोको खेल देखो चेतना का गूढ  रहस्य ध्यान कैसे करें The Easiest Way to Meditate#meditation,29:56,"[['230 views', '6 months ago']]",https://www.youtube.com/watch?v=Y73Uu83CJes,https://i.ytimg.com/vi/Y73Uu83CJes/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC6ImHu8H4g0L87Xm-PxxaSsM0nDg
IKdXtnOc9Ko,"✅ध्यान में कैसे देखे, सोचोगे वही मिलेगा, Gautam Buddha motivation on mind power#meditation",23:29,"[['322 views', '6 months ago']]",https://www.youtube.com/watch?v=IKdXtnOc9Ko,https://i.ytimg.com/an_webp/IKdXtnOc9Ko/mqdefault_6s.webp?du=3000&sqp=CJyDsdMG&rs=AOn4CLAMYNy7FSuM20i31safolMk3DxHSg
Hltb7AR6uoI,✅सांस और मन का संबंध | Right Way of Breathig In Yog Science|BuddhistMeditation Techniques#meditation,40:00,"[['1.7K views', '6 months ago']]",https://www.youtube.com/watch?v=Hltb7AR6uoI,https://i.ytimg.com/an_webp/Hltb7AR6uoI/mqdefault_6s.webp?du=3000&sqp=CO7RsNMG&rs=AOn4CLAFNetIT27hMZPURqdJH0lZJWQi7Q
HpWovMlAKjk,ध्यान मे साँस लो और चमत्कार देखो सही तरीके से ध्यान कैसे करें सरल ध्यान विधि #meditation,29:50,"[['303 views', '6 months ago']]",https://www.youtube.com/watch?v=HpWovMlAKjk,https://i.ytimg.com/an_webp/HpWovMlAKjk/mqdefault_6s.webp?du=3000&sqp=CNyBsdMG&rs=AOn4CLCScaDwcEP1BiqNxBfaRY2hHvcIIQ
-ypWsEE9cEo,✅ध्यान में प्रवेश करने का सही तरीका Buddhist Meditation Techniques Buddha Techniques #Meditation ,29:55,"[['1.4K views', '6 months ago']]",https://www.youtube.com/watch?v=-ypWsEE9cEo,https://i.ytimg.com/an_webp/-ypWsEE9cEo/mqdefault_6s.webp?du=3000&sqp=CLKBsdMG&rs=AOn4CLBeWaPfLD-vAwUvbHM5Rbp2oQAgcw
LrfGMoZOXNg,✅सांस और मन का संबंध Right Way of Breathig In Yog Science Buddhist Meditation Techniques#Meditation ,33:30,"[['1.4K views', '6 months ago']]",https://www.youtube.com/watch?v=LrfGMoZOXNg,https://i.ytimg.com/an_webp/LrfGMoZOXNg/mqdefault_6s.webp?du=3000&sqp=CKD4sNMG&rs=AOn4CLBbWur_DJDD-I9Dsb9LL2nesbFyOw
yZaiZQ7A5Qk, ध्यान मे जाने की सबसे सरल विधि । the easiest way to meditate l deepmeditation #meditation ,30:40,"[['448 views', '6 months ago']]",https://www.youtube.com/watch?v=yZaiZQ7A5Qk,https://i.ytimg.com/an_webp/yZaiZQ7A5Qk/mqdefault_6s.webp?du=3000&sqp=CJ_WsNMG&rs=AOn4CLB7qo_wW_iqjI65aqGI_m7TEZU4Ug
8EwdHq2w_Vk,✅अपनी सांसो पर ध्यान केंद्रित करो Buddhist Meditation Techniques Buddha Techniques #meditation,43:31,"[['1.8K views', '6 months ago']]",https://www.youtube.com/watch?v=8EwdHq2w_Vk,https://i.ytimg.com/an_webp/8EwdHq2w_Vk/mqdefault_6s.webp?du=3000&sqp=COKNsdMG&rs=AOn4CLDYGirQOAg_W_nDf5Oo_kRNpgm6pw
ydIrgAwQZvA,"✅ध्यान करते समय सांस कैसे लेना चाहिए, Dhyan ke samay sans kaise Lena chahie #meditation",35:04,"[['952 views', '6 months ago']]",https://www.youtube.com/watch?v=ydIrgAwQZvA,https://i.ytimg.com/an_webp/ydIrgAwQZvA/mqdefault_6s.webp?du=3000&sqp=CKDnsNMG&rs=AOn4CLCx0P3gkxa1ZbtMSCdrbCqTCLe71A
5ndeJgv-nXQ,"✅ब्रह्म मुहूर्त का रहस्य, सुबह 4:30 का समय क्यों बदल देता है जीवन #Brahma Muhurta #meditation",20:42,"[['655 views', '6 months ago']]",https://www.youtube.com/watch?v=5ndeJgv-nXQ,https://i.ytimg.com/an_webp/5ndeJgv-nXQ/mqdefault_6s.webp?du=3000&sqp=CKzCsNMG&rs=AOn4CLAhMEjxxzdo6yS35Q9XbpQn8J5scA
K-a3NUg0Kos,✅1000 साल पुरानी रहस्यमयी ध्यान विधि जीवन मे  चमत्कार होने लगेंग AncientMeditationSecrets#meditation,27:52,"[['302 views', '6 months ago']]",https://www.youtube.com/watch?v=K-a3NUg0Kos,https://i.ytimg.com/an_webp/K-a3NUg0Kos/mqdefault_6s.webp?du=3000&sqp=CNPMsNMG&rs=AOn4CLBNXWMVHfLcBXlE601iybd5Lu__eg
cSvoeaeTWuA,✅मुंह से सांस रुको जिंदगी बदल जाएगी Breathing Manifestation New Meditation Techniques #meditation,25:34,"[['573 views', '6 months ago']]",https://www.youtube.com/watch?v=cSvoeaeTWuA,https://i.ytimg.com/an_webp/cSvoeaeTWuA/mqdefault_6s.webp?du=3000&sqp=CLDzsNMG&rs=AOn4CLBwQZjc6m4-ig_oY6uX_Q4qaICarA
BRKEqgseOQs,✅मन शुद्ध रखना हमेशा जीत मिलेगी Buddhist motivational Story on the Way Of Living #meditation ,37:04,"[['749 views', '7 months ago']]",https://www.youtube.com/watch?v=BRKEqgseOQs,https://i.ytimg.com/an_webp/BRKEqgseOQs/mqdefault_6s.webp?du=3000&sqp=CMjtsNMG&rs=AOn4CLCBB75Kjo1lOxPwelL26bfkXoGS7A
RX9hIQqg_SI,✅पेट से सांस लो जिंदगी बदल जाएगी Breathing Meditation Techniques MeditationTechniques #meditation,33:14,"[['2.2K views', '7 months ago']]",https://www.youtube.com/watch?v=RX9hIQqg_SI,https://i.ytimg.com/an_webp/RX9hIQqg_SI/mqdefault_6s.webp?du=3000&sqp=CI7csNMG&rs=AOn4CLCEFOCWsb-Kf4j73-PnBBCYpOc_gw
Bse1DZOQGsE,🔔सिर्फ सांस पर ध्यान करो 100 साल पुरानी ध्यान विधि | 10 मिनट Meditation #meditation ,34:36,"[['634 views', '7 months ago']]",https://www.youtube.com/watch?v=Bse1DZOQGsE,https://i.ytimg.com/an_webp/Bse1DZOQGsE/mqdefault_6s.webp?du=3000&sqp=CPP5sNMG&rs=AOn4CLCuMr0ksolZInlyAzAdxkBwm57Bcg
XbzXh6l7Ioc,"✅️Wake up between 3 am and 5 am and do this work in Brahma Muhurta, you will get whatever you want .",28:44,"[['281 views', '7 months ago']]",https://www.youtube.com/watch?v=XbzXh6l7Ioc,https://i.ytimg.com/an_webp/XbzXh6l7Ioc/mqdefault_6s.webp?du=3000&sqp=CIvusNMG&rs=AOn4CLCFObzNLaO4dU3vaw6l4KEzdlhngw
z2DAjJZkAxE,"चाह कोई कितना भी ख़ास क्यों न हो, ये 7 बातें हमेशा छुपाकर रखना - चाणक्य नीति -chanakya Niti",12:03,"[['332 views', '7 months ago']]",https://www.youtube.com/watch?v=z2DAjJZkAxE,https://i.ytimg.com/an_webp/z2DAjJZkAxE/mqdefault_6s.webp?du=3000&sqp=CI_dsNMG&rs=AOn4CLCcgJn7FlVoyVmBB3dIhs538eOLuQ
vtuqucNwpWY,"✅ध्यान के दौरान होने वाले अजीब अनुभव, डरें नही आगे बढ़ें Meditation Techniques #meditation ",28:09,"[['326 views', '7 months ago']]",https://www.youtube.com/watch?v=vtuqucNwpWY,https://i.ytimg.com/an_webp/vtuqucNwpWY/mqdefault_6s.webp?du=3000&sqp=CJT1sNMG&rs=AOn4CLApDS0I45CyKtqn7NB4bmzjgrTqtA
wUSGfD4bUzg,✅️ध्यान में ऊर्जा कैसे जागृत करे पूरा रहस्य Inspired Club #meditation #motivation,26:05,"[['251 views', '7 months ago']]",https://www.youtube.com/watch?v=wUSGfD4bUzg,https://i.ytimg.com/an_webp/wUSGfD4bUzg/mqdefault_6s.webp?du=3000&sqp=CNjusNMG&rs=AOn4CLCdegMnHYwvjv1LYm_cobkVEQr8yg
sXSmu5hk_34,✅️सांस लेने का सही तरीका जो बदल देगा आपकी ज़िंदगी ! Naval Breathing Technique Naval Medication,24:56,"[['2K views', '7 months ago']]",https://www.youtube.com/watch?v=sXSmu5hk_34,https://i.ytimg.com/an_webp/sXSmu5hk_34/mqdefault_6s.webp?du=3000&sqp=CIz3sNMG&rs=AOn4CLDLIVljDyl0mR_Ms29RapYXXJQ3wg
rInkxt-Ssk8,✅️सुबह उठते ही सबसे पहले ये करो यूनिवर्स आपकी इच्छा पूरी करेगी Law Of Attraction Morning Affirmation,23:31,"[['215 views', '7 months ago']]",https://www.youtube.com/watch?v=rInkxt-Ssk8,https://i.ytimg.com/an_webp/rInkxt-Ssk8/mqdefault_6s.webp?du=3000&sqp=CPb0sNMG&rs=AOn4CLDn6_IfVMCl58XJwFVdx3JXZSizHg
bPRPRQZ-1vg,"✅️कपालभाती प्राणायाम कैसे और क्यों करे, १२० फायद Kapalbhati Pranayama #meditation",18:33,"[['177 views', '7 months ago']]",https://www.youtube.com/watch?v=bPRPRQZ-1vg,https://i.ytimg.com/an_webp/bPRPRQZ-1vg/mqdefault_6s.webp?du=3000&sqp=COD5sNMG&rs=AOn4CLDfH6SLA2HRFgwq2hdTCCZIvXz2cQ
426QAaaZHFQ,The easiest method to go into Samadhi Powerful Meditation Buddhist Meditation Techniques #Meditation,29:01,[['7 months ago']],https://www.youtube.com/watch?v=426QAaaZHFQ,https://i.ytimg.com/vi/426QAaaZHFQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjcOWBXsZOvisGcM3-e5qGoYIzKw
